name,price,ratedBy
Nykaa Ultra Matte Mini Lipstick - Marilyn 10,₹224,( 21744 )
Nykaa BlendPro Eyeshadow Application Makeup Brush,₹269,( 1269 )
Nykaa Glamoreyes Colour Eye Pencil Kajal - Blue Hex 01,₹424,( 11070 )
Nykaa Glamoreyes Colour Eye Pencil Kajal - Violet Wizard 06,₹449,( 11070 )
"Nykaa All Day Matte Waterproof, Transfer Proof, Mask Proof, ...",₹338,( 15576 )
Nykaa Paintstix! Waterproof Matte Lipstick - Print Party,₹399,( 10524 )
Nykaa Wow My Brow Eyebrow Palette - Chamber Of Secrets,₹616,( 955 )
Nykaa Matte Luxe Lipstick - Staycation,₹825,( 5510 )
Nykaa So Matte Lipstick - Naughty Nude 11 M,₹383,( 21373 )
"Nykaa All Day Matte Waterproof, Transfer Proof, Mask Proof, ...",₹338,( 15576 )
Nykaa So Matte! Mini Lipstick - 45 M Dirty Peach,₹178,( 88728 )
Nykaa Bling It On! Mini Travel-Size Makeup Pouch - Blushing ...,₹179,( 7832 )
Nykaa Matte Luxe Lipstick - Athleisure,₹825,( 5510 )
Nykaa Matte to Last! Mini Liquid Lipstick - Mastani 11,₹212,( 80627 )
Nykaa Matte Luxe Lipstick - Avocado Toast,₹825,( 5510 )
Nykaa Glamoreyes Colour Eye Pencil Kajal - Midnight,₹424,( 11070 )
Nykaa Glow Getter Highlighting & Illuminating Duo Palette,₹580,( 3254 )
Nykaa SKINgenius Skin Perfecting & Hydrating Matte Powder Co...,₹539,( 4608 )
Nykaa Glow Goals! Shimmer Brick Highlighter Palette - Want i...,₹699,( 4128 )
Nykaa So Matte! Mini Lipstick - 15 M Sugar Plum Martini,₹188,( 88728 )
Nykaa So Matte! Mini Lipstick - 13 M Mulled Wine,₹188,( 88728 )
Nykaa So Matte! Mini Lipstick - 48 M Totes Natural!,₹188,( 88728 )
"Nykaa Cosmetics Black Magic Liquid Eyeliner,Brow On Point Pe...",₹1138,( 16987 )
Nykaa Breathable Nail Enamel - Easy Nude - 320,₹225,( 20301 )
Nykaa Holographic Pouch - Pink,₹320,( 2055 )
Nykaa Cosmetics Glam Eyes Look-Glamoreyes Coloured Liquid Ey...,₹553,( 32 )
Nykaa Sugar Crush Glitter Makeup Pouch,₹204,( 2392 )
Nykaa BlendMaster All-rounder Makeup Perfecting Sponge Beaut...,₹383,( 4502 )
Nykaa Nail Enamel Polish - Marshmallow Dream 83,₹189,( 62888 )
Nykaa Glamoreyes Colour Eye Pencil Kajal - Jade Jinx 03,₹499,( 11070 )
Nykaa Matte-illicious Lip Crayon Lipstick with Free Sharpene...,₹637,( 9763 )
Nykaa Matte to Last! Transfer Proof Liquid Lipstick - Le Pon...,₹552,( 38146 )
Nykaa SkinShield Anti-Pollution Matte Foundation for Oily Sk...,₹719,( 6280 )
Nykaa Lips Don't Lie! Waterproof Line & Fill Lip Liner - Jus...,₹359,( 11606 )
Nykaa Blendpro Angular Eyeshadow and Lipstick Makeup Brush,₹254,( 690 )
Nykaa Nail Care - Rock Hard Nail Hardener,₹212,( 9463 )
Nykaa Cosmetics Breathable Nail Enamel - Easy Nude + Bare Sk...,₹608,( 69 )
Nykaa Lash Talk False Eyelash - Real Deal,₹179,( 10685 )
Nykaa Cosmetics Best Of Matte To Last In Minis- Janhvi + Mad...,₹672,( 34 )
Nykaa Mirror Shine Trousseau Box,₹1699,( 370 )
Nykaa Matte to Last! Mini Liquid Lipstick - Le Pondy 15,₹224,( 80627 )
Nykaa Nail Enamel Polish - Cranberry Crumble 06,₹170,( 62888 )
Nykaa Lash Talk False Eyelash - Turn Up The Drama,₹179,( 10685 )
"Nykaa All Day Matte Waterproof, Transfer Proof, Mask Proof, ...",₹375,( 15576 )
Nykaa Breathable Nail Enamel - Stay Zen - 309,₹191,( 20301 )
Nykaa Black To Gold Nail Enamel Collection,₹199,( 1531 )
Nykaa Cosmetics Prep Me Up! Mini Primer,₹129,( 3609 )
"Nykaa All Day Matte Waterproof, Transfer Proof, Mask Proof, ...",₹375,( 15576 )
Nykaa Glamoreyes Colour Eye Pencil Kajal - Moon Child 11,₹399,( 11070 )
Nykaa Matte Nail Enamel Polish - Spiced Gingerbread 126,₹225,( 53051 )
Nykaa Serial Kisser Lip Balm - Blueberry,₹127,( 14951 )
Nykaa Cosmetics Blendpro Brushes Shape & Sculpt Series ( Blu...,₹1278,( 3294 )
Nykaa Nail Care - Shine On Top Coat,₹212,( 9463 )
